PassengerId,Age,SibSp,Parch,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male
892,34.5,0,0,0,0,1,0,1,0,0,1
893,47.0,1,0,0,0,1,0,0,1,1,0
894,62.0,0,0,0,1,0,0,1,0,0,1
895,27.0,0,0,0,0,1,0,0,1,0,1
896,22.0,1,1,0,0,1,0,0,1,1,0
897,14.0,0,0,0,0,1,0,0,1,0,1
898,30.0,0,0,0,0,1,0,1,0,1,0
899,26.0,1,1,0,1,0,0,0,1,0,1
900,18.0,0,0,0,0,1,1,0,0,1,0
901,21.0,2,0,0,0,1,0,0,1,0,1
902,29.9,0,0,0,0,1,0,0,1,0,1
903,46.0,0,0,1,0,0,0,0,1,0,1
904,23.0,1,0,1,0,0,0,0,1,1,0
905,63.0,1,0,0,1,0,0,0,1,0,1
906,47.0,1,0,1,0,0,0,0,1,1,0
907,24.0,1,0,0,1,0,1,0,0,1,0
908,35.0,0,0,0,1,0,0,1,0,0,1
909,21.0,0,0,0,0,1,1,0,0,0,1
910,27.0,1,0,0,0,1,0,0,1,1,0
911,45.0,0,0,0,0,1,1,0,0,1,0
912,55.0,1,0,1,0,0,1,0,0,0,1
913,9.0,0,1,0,0,1,0,0,1,0,1
914,29.9,0,0,1,0,0,0,0,1,1,0
915,21.0,0,1,1,0,0,1,0,0,0,1
916,48.0,1,3,1,0,0,1,0,0,1,0
917,50.0,1,0,0,0,1,0,0,1,0,1
918,22.0,0,1,1,0,0,1,0,0,1,0
919,22.5,0,0,0,0,1,1,0,0,0,1
920,41.0,0,0,1,0,0,0,0,1,0,1
921,29.9,2,0,0,0,1,1,0,0,0,1
922,50.0,1,0,0,1,0,0,0,1,0,1
923,24.0,2,0,0,1,0,0,0,1,0,1
924,33.0,1,2,0,0,1,0,0,1,1,0
925,29.9,1,2,0,0,1,0,0,1,1,0
926,30.0,1,0,1,0,0,1,0,0,0,1
927,18.5,0,0,0,0,1,1,0,0,0,1
928,29.9,0,0,0,0,1,0,0,1,1,0
929,21.0,0,0,0,0,1,0,0,1,1,0
930,25.0,0,0,0,0,1,0,0,1,0,1
931,29.9,0,0,0,0,1,0,0,1,0,1
932,39.0,0,1,0,0,1,1,0,0,0,1
933,29.9,0,0,1,0,0,0,0,1,0,1
934,41.0,0,0,0,0,1,0,0,1,0,1
935,30.0,0,0,0,1,0,0,0,1,1,0
936,45.0,1,0,1,0,0,0,0,1,1,0
937,25.0,0,0,0,0,1,0,0,1,0,1
938,45.0,0,0,1,0,0,1,0,0,0,1
939,29.9,0,0,0,0,1,0,1,0,0,1
940,60.0,0,0,1,0,0,1,0,0,1,0
941,36.0,0,2,0,0,1,0,0,1,1,0
942,24.0,1,0,1,0,0,0,0,1,0,1
943,27.0,0,0,0,1,0,1,0,0,0,1
944,20.0,2,1,0,1,0,0,0,1,1,0
945,28.0,3,2,1,0,0,0,0,1,1,0
946,29.9,0,0,0,1,0,1,0,0,0,1
947,10.0,4,1,0,0,1,0,1,0,0,1
948,35.0,0,0,0,0,1,0,0,1,0,1
949,25.0,0,0,0,0,1,0,0,1,0,1
950,29.9,1,0,0,0,1,0,0,1,0,1
951,36.0,0,0,1,0,0,1,0,0,1,0
952,17.0,0,0,0,0,1,0,0,1,0,1
953,32.0,0,0,0,1,0,0,0,1,0,1
954,18.0,0,0,0,0,1,0,0,1,0,1
955,22.0,0,0,0,0,1,0,1,0,1,0
956,13.0,2,2,1,0,0,1,0,0,0,1
957,29.9,0,0,0,1,0,0,0,1,1,0
958,18.0,0,0,0,0,1,0,1,0,1,0
959,47.0,0,0,1,0,0,0,0,1,0,1
960,31.0,0,0,1,0,0,1,0,0,0,1
961,60.0,1,4,1,0,0,0,0,1,1,0
962,24.0,0,0,0,0,1,0,1,0,1,0
963,21.0,0,0,0,0,1,0,0,1,0,1
964,29.0,0,0,0,0,1,0,0,1,1,0
965,28.5,0,0,1,0,0,1,0,0,0,1
966,35.0,0,0,1,0,0,1,0,0,1,0
967,32.5,0,0,1,0,0,1,0,0,0,1
968,29.9,0,0,0,0,1,0,0,1,0,1
969,55.0,2,0,1,0,0,0,0,1,1,0
970,30.0,0,0,0,1,0,0,0,1,0,1
971,24.0,0,0,0,0,1,0,1,0,1,0
972,6.0,1,1,0,0,1,1,0,0,0,1
973,67.0,1,0,1,0,0,0,0,1,0,1
974,49.0,0,0,1,0,0,0,0,1,0,1
975,29.9,0,0,0,0,1,0,0,1,0,1
976,29.9,0,0,0,1,0,0,1,0,0,1
977,29.9,1,0,0,0,1,1,0,0,0,1
978,27.0,0,0,0,0,1,0,1,0,1,0
979,18.0,0,0,0,0,1,0,0,1,1,0
980,29.9,0,0,0,0,1,0,1,0,1,0
981,2.0,1,1,0,1,0,0,0,1,0,1
982,22.0,1,0,0,0,1,0,0,1,1,0
983,29.9,0,0,0,0,1,0,0,1,0,1
984,27.0,1,2,1,0,0,0,0,1,1,0
985,29.9,0,0,0,0,1,0,0,1,0,1
986,25.0,0,0,1,0,0,1,0,0,0,1
987,25.0,0,0,0,0,1,0,0,1,0,1
988,76.0,1,0,1,0,0,0,0,1,1,0
989,29.0,0,0,0,0,1,0,0,1,0,1
990,20.0,0,0,0,0,1,0,0,1,1,0
991,33.0,0,0,0,0,1,0,0,1,0,1
992,43.0,1,0,1,0,0,1,0,0,1,0
993,27.0,1,0,0,1,0,0,0,1,0,1
994,29.9,0,0,0,0,1,0,1,0,0,1
995,26.0,0,0,0,0,1,0,0,1,0,1
996,16.0,1,1,0,0,1,1,0,0,1,0
997,28.0,0,0,0,0,1,0,0,1,0,1
998,21.0,0,0,0,0,1,0,1,0,0,1
999,29.9,0,0,0,0,1,0,1,0,0,1
1000,29.9,0,0,0,0,1,0,0,1,0,1
1001,18.5,0,0,0,1,0,0,0,1,0,1
1002,41.0,0,0,0,1,0,1,0,0,0,1
1003,29.9,0,0,0,0,1,0,1,0,1,0
1004,36.0,0,0,1,0,0,1,0,0,1,0
1005,18.5,0,0,0,0,1,0,1,0,1,0
1006,63.0,1,0,1,0,0,0,0,1,1,0
1007,18.0,1,0,0,0,1,1,0,0,0,1
1008,29.9,0,0,0,0,1,1,0,0,0,1
1009,1.0,1,1,0,0,1,0,0,1,1,0
1010,36.0,0,0,1,0,0,1,0,0,0,1
1011,29.0,1,0,0,1,0,0,0,1,1,0
1012,12.0,0,0,0,1,0,0,0,1,1,0
1013,29.9,1,0,0,0,1,0,1,0,0,1
1014,35.0,1,0,1,0,0,1,0,0,1,0
1015,28.0,0,0,0,0,1,0,0,1,0,1
1016,29.9,0,0,0,0,1,0,1,0,0,1
1017,17.0,0,1,0,0,1,0,0,1,1,0
1018,22.0,0,0,0,0,1,0,0,1,0,1
1019,29.9,2,0,0,0,1,0,1,0,1,0
1020,42.0,0,0,0,1,0,0,0,1,0,1
1021,24.0,0,0,0,0,1,0,0,1,0,1
1022,32.0,0,0,0,0,1,0,0,1,0,1
1023,53.0,0,0,1,0,0,1,0,0,0,1
1024,29.9,0,4,0,0,1,0,0,1,1,0
1025,29.9,1,0,0,0,1,1,0,0,0,1
1026,43.0,0,0,0,0,1,0,0,1,0,1
1027,24.0,0,0,0,0,1,0,0,1,0,1
1028,26.5,0,0,0,0,1,1,0,0,0,1
1029,26.0,0,0,0,1,0,0,0,1,0,1
1030,23.0,0,0,0,0,1,0,0,1,1,0
1031,40.0,1,6,0,0,1,0,0,1,0,1
1032,10.0,5,2,0,0,1,0,0,1,1,0
1033,33.0,0,0,1,0,0,0,0,1,1,0
1034,61.0,1,3,1,0,0,1,0,0,0,1
1035,28.0,0,0,0,1,0,0,0,1,0,1
1036,42.0,0,0,1,0,0,0,0,1,0,1
1037,31.0,3,0,0,0,1,0,0,1,0,1
1038,29.9,0,0,1,0,0,0,0,1,0,1
1039,22.0,0,0,0,0,1,0,0,1,0,1
1040,29.9,0,0,1,0,0,0,0,1,0,1
1041,30.0,1,1,0,1,0,0,0,1,0,1
1042,23.0,0,1,1,0,0,1,0,0,1,0
1043,29.9,0,0,0,0,1,1,0,0,0,1
1044,60.5,0,0,0,0,1,0,0,1,0,1
1045,36.0,0,2,0,0,1,0,0,1,1,0
1046,13.0,4,2,0,0,1,0,0,1,0,1
1047,24.0,0,0,0,0,1,0,0,1,0,1
1048,29.0,0,0,1,0,0,0,0,1,1,0
1049,23.0,0,0,0,0,1,0,0,1,1,0
1050,42.0,0,0,1,0,0,0,0,1,0,1
1051,26.0,0,2,0,0,1,0,0,1,1,0
1052,29.9,0,0,0,0,1,0,1,0,1,0
1053,7.0,1,1,0,0,1,1,0,0,0,1
1054,26.0,0,0,0,1,0,0,0,1,1,0
1055,29.9,0,0,0,0,1,0,0,1,0,1
1056,41.0,0,0,0,1,0,0,0,1,0,1
1057,26.0,1,1,0,0,1,0,0,1,1,0
1058,48.0,0,0,1,0,0,1,0,0,0,1
1059,18.0,2,2,0,0,1,0,0,1,0,1
1060,29.9,0,0,1,0,0,1,0,0,1,0
1061,22.0,0,0,0,0,1,0,0,1,1,0
1062,29.9,0,0,0,0,1,0,0,1,0,1
1063,27.0,0,0,0,0,1,1,0,0,0,1
1064,23.0,1,0,0,0,1,0,0,1,0,1
1065,29.9,0,0,0,0,1,1,0,0,0,1
1066,40.0,1,5,0,0,1,0,0,1,0,1
1067,15.0,0,2,0,1,0,0,0,1,1,0
1068,20.0,0,0,0,1,0,0,0,1,1,0
1069,54.0,1,0,1,0,0,1,0,0,0,1
1070,36.0,0,3,0,1,0,0,0,1,1,0
1071,64.0,0,2,1,0,0,1,0,0,1,0
1072,30.0,0,0,0,1,0,0,0,1,0,1
1073,37.0,1,1,1,0,0,1,0,0,0,1
1074,18.0,1,0,1,0,0,0,0,1,1,0
1075,29.9,0,0,0,0,1,0,1,0,0,1
1076,27.0,1,1,1,0,0,1,0,0,1,0
1077,40.0,0,0,0,1,0,0,0,1,0,1
1078,21.0,0,1,0,1,0,0,0,1,1,0
1079,17.0,2,0,0,0,1,0,0,1,0,1
1080,29.9,8,2,0,0,1,0,0,1,1,0
1081,40.0,0,0,0,1,0,0,0,1,0,1
1082,34.0,1,0,0,1,0,0,0,1,0,1
1083,29.9,0,0,1,0,0,0,0,1,0,1
1084,11.5,1,1,0,0,1,0,0,1,0,1
1085,61.0,0,0,0,1,0,0,1,0,0,1
1086,8.0,0,2,0,1,0,0,0,1,0,1
1087,33.0,0,0,0,0,1,0,0,1,0,1
1088,6.0,0,2,1,0,0,1,0,0,0,1
1089,18.0,0,0,0,0,1,0,0,1,1,0
1090,23.0,0,0,0,1,0,0,0,1,0,1
1091,29.9,0,0,0,0,1,0,0,1,1,0
1092,29.9,0,0,0,0,1,0,1,0,1,0
1093,0.33,0,2,0,0,1,0,0,1,0,1
1094,47.0,1,0,1,0,0,1,0,0,0,1
1095,8.0,1,1,0,1,0,0,0,1,1,0
1096,25.0,0,0,0,1,0,0,0,1,0,1
1097,29.9,0,0,1,0,0,1,0,0,0,1
1098,35.0,0,0,0,0,1,0,1,0,1,0
1099,24.0,0,0,0,1,0,0,0,1,0,1
1100,33.0,0,0,1,0,0,1,0,0,1,0
1101,25.0,0,0,0,0,1,0,0,1,0,1
1102,32.0,0,0,0,0,1,0,0,1,0,1
1103,29.9,0,0,0,0,1,0,0,1,0,1
1104,17.0,0,0,0,1,0,0,0,1,0,1
1105,60.0,1,0,0,1,0,0,0,1,1,0
1106,38.0,4,2,0,0,1,0,0,1,1,0
1107,42.0,0,0,1,0,0,0,0,1,0,1
1108,29.9,0,0,0,0,1,0,1,0,1,0
1109,57.0,1,1,1,0,0,0,0,1,0,1
1110,50.0,1,1,1,0,0,1,0,0,1,0
1111,29.9,0,0,0,0,1,0,0,1,0,1
1112,30.0,1,0,0,1,0,1,0,0,1,0
1113,21.0,0,0,0,0,1,0,0,1,0,1
1114,22.0,0,0,0,1,0,0,0,1,1,0
1115,21.0,0,0,0,0,1,0,0,1,0,1
1116,53.0,0,0,1,0,0,1,0,0,1,0
1117,29.9,0,2,0,0,1,1,0,0,1,0
1118,23.0,0,0,0,0,1,0,0,1,0,1
1119,29.9,0,0,0,0,1,0,1,0,1,0
1120,40.5,0,0,0,0,1,0,0,1,0,1
1121,36.0,0,0,0,1,0,0,0,1,0,1
1122,14.0,0,0,0,1,0,0,0,1,0,1
1123,21.0,0,0,1,0,0,0,0,1,1,0
1124,21.0,1,0,0,0,1,0,0,1,0,1
1125,29.9,0,0,0,0,1,0,1,0,0,1
1126,39.0,1,0,1,0,0,1,0,0,0,1
1127,20.0,0,0,0,0,1,0,0,1,0,1
1128,64.0,1,0,1,0,0,1,0,0,0,1
1129,20.0,0,0,0,0,1,1,0,0,0,1
1130,18.0,1,1,0,1,0,0,0,1,1,0
1131,48.0,1,0,1,0,0,1,0,0,1,0
1132,55.0,0,0,1,0,0,1,0,0,1,0
1133,45.0,0,2,0,1,0,0,0,1,1,0
1134,45.0,1,1,1,0,0,1,0,0,0,1
1135,29.9,0,0,0,0,1,0,0,1,0,1
1136,29.9,1,2,0,0,1,0,0,1,0,1
1137,41.0,1,0,1,0,0,0,0,1,0,1
1138,22.0,0,0,0,1,0,0,0,1,1,0
1139,42.0,1,1,0,1,0,0,0,1,0,1
1140,29.0,1,0,0,1,0,0,0,1,1,0
1141,29.9,1,0,0,0,1,1,0,0,1,0
1142,0.92,1,2,0,1,0,0,0,1,1,0
1143,20.0,0,0,0,0,1,0,0,1,0,1
1144,27.0,1,0,1,0,0,1,0,0,0,1
1145,24.0,0,0,0,0,1,0,0,1,0,1
1146,32.5,0,0,0,0,1,0,0,1,0,1
1147,29.9,0,0,0,0,1,0,0,1,0,1
1148,29.9,0,0,0,0,1,0,1,0,0,1
1149,28.0,0,0,0,0,1,0,0,1,0,1
1150,19.0,0,0,0,1,0,0,0,1,1,0
1151,21.0,0,0,0,0,1,0,0,1,0,1
1152,36.5,1,0,0,0,1,0,0,1,0,1
1153,21.0,0,0,0,0,1,0,0,1,0,1
1154,29.0,0,2,0,1,0,0,0,1,1,0
1155,1.0,1,1,0,0,1,0,0,1,1,0
1156,30.0,0,0,0,1,0,1,0,0,0,1
1157,29.9,0,0,0,0,1,0,0,1,0,1
1158,29.9,0,0,1,0,0,0,0,1,0,1
1159,29.9,0,0,0,0,1,0,0,1,0,1
1160,29.9,0,0,0,0,1,0,0,1,1,0
1161,17.0,0,0,0,0,1,0,0,1,0,1
1162,46.0,0,0,1,0,0,1,0,0,0,1
1163,29.9,0,0,0,0,1,0,1,0,0,1
1164,26.0,1,0,1,0,0,1,0,0,1,0
1165,29.9,1,0,0,0,1,0,1,0,1,0
1166,29.9,0,0,0,0,1,1,0,0,0,1
1167,20.0,1,0,0,1,0,0,0,1,1,0
1168,28.0,0,0,0,1,0,0,0,1,0,1
1169,40.0,1,0,0,1,0,0,0,1,0,1
1170,30.0,1,0,0,1,0,0,0,1,0,1
1171,22.0,0,0,0,1,0,0,0,1,0,1
1172,23.0,0,0,0,0,1,0,0,1,1,0
1173,0.75,1,1,0,0,1,0,0,1,0,1
1174,29.9,0,0,0,0,1,0,1,0,1,0
1175,9.0,1,1,0,0,1,1,0,0,1,0
1176,2.0,1,1,0,0,1,0,0,1,1,0
1177,36.0,0,0,0,0,1,0,0,1,0,1
1178,29.9,0,0,0,0,1,0,0,1,0,1
1179,24.0,1,0,1,0,0,0,0,1,0,1
1180,29.9,0,0,0,0,1,1,0,0,0,1
1181,29.9,0,0,0,0,1,0,0,1,0,1
1182,29.9,0,0,1,0,0,0,0,1,0,1
1183,30.0,0,0,0,0,1,0,1,0,1,0
1184,29.9,0,0,0,0,1,1,0,0,0,1
1185,53.0,1,1,1,0,0,0,0,1,0,1
1186,36.0,0,0,0,0,1,0,0,1,0,1
1187,26.0,0,0,0,0,1,0,0,1,0,1
1188,1.0,1,2,0,1,0,1,0,0,1,0
1189,29.9,2,0,0,0,1,1,0,0,0,1
1190,30.0,0,0,1,0,0,0,0,1,0,1
1191,29.0,0,0,0,0,1,0,0,1,0,1
1192,32.0,0,0,0,0,1,0,0,1,0,1
1193,29.9,0,0,0,1,0,1,0,0,0,1
1194,43.0,0,1,0,1,0,0,0,1,0,1
1195,24.0,0,0,0,0,1,0,0,1,0,1
1196,29.9,0,0,0,0,1,0,1,0,1,0
1197,64.0,1,1,1,0,0,0,0,1,1,0
1198,30.0,1,2,1,0,0,0,0,1,0,1
1199,0.83,0,1,0,0,1,0,0,1,0,1
1200,55.0,1,1,1,0,0,0,0,1,0,1
1201,45.0,1,0,0,0,1,0,0,1,1,0
1202,18.0,0,0,0,0,1,0,0,1,0,1
1203,22.0,0,0,0,0,1,1,0,0,0,1
1204,29.9,0,0,0,0,1,0,0,1,0,1
1205,37.0,0,0,0,0,1,0,1,0,1,0
1206,55.0,0,0,1,0,0,1,0,0,1,0
1207,17.0,0,0,0,0,1,0,1,0,1,0
1208,57.0,1,0,1,0,0,1,0,0,0,1
1209,19.0,0,0,0,1,0,0,0,1,0,1
1210,27.0,0,0,0,0,1,0,0,1,0,1
1211,22.0,2,0,0,1,0,0,0,1,0,1
1212,26.0,0,0,0,0,1,0,0,1,0,1
1213,25.0,0,0,0,0,1,1,0,0,0,1
1214,26.0,0,0,0,1,0,0,0,1,0,1
1215,33.0,0,0,1,0,0,0,0,1,0,1
1216,39.0,0,0,1,0,0,0,0,1,1,0
1217,23.0,0,0,0,0,1,0,0,1,0,1
1218,12.0,2,1,0,1,0,0,0,1,1,0
1219,46.0,0,0,1,0,0,1,0,0,0,1
1220,29.0,1,0,0,1,0,0,0,1,0,1
1221,21.0,0,0,0,1,0,0,0,1,0,1
1222,48.0,0,2,0,1,0,0,0,1,1,0
1223,39.0,0,0,1,0,0,1,0,0,0,1
1224,29.9,0,0,0,0,1,1,0,0,0,1
1225,19.0,1,1,0,0,1,1,0,0,1,0
1226,27.0,0,0,0,0,1,0,0,1,0,1
1227,30.0,0,0,1,0,0,0,0,1,0,1
1228,32.0,0,0,0,1,0,0,0,1,0,1
1229,39.0,0,2,0,0,1,1,0,0,0,1
1230,25.0,0,0,0,1,0,0,0,1,0,1
1231,29.9,0,0,0,0,1,1,0,0,0,1
1232,18.0,0,0,0,1,0,0,0,1,0,1
1233,32.0,0,0,0,0,1,0,0,1,0,1
1234,29.9,1,9,0,0,1,0,0,1,0,1
1235,58.0,0,1,1,0,0,1,0,0,1,0
1236,29.9,1,1,0,0,1,0,0,1,0,1
1237,16.0,0,0,0,0,1,0,0,1,1,0
1238,26.0,0,0,0,1,0,0,0,1,0,1
1239,38.0,0,0,0,0,1,1,0,0,1,0
1240,24.0,0,0,0,1,0,0,0,1,0,1
1241,31.0,0,0,0,1,0,0,0,1,1,0
1242,45.0,0,1,1,0,0,1,0,0,1,0
1243,25.0,0,0,0,1,0,0,0,1,0,1
1244,18.0,0,0,0,1,0,0,0,1,0,1
1245,49.0,1,2,0,1,0,0,0,1,0,1
1246,0.17,1,2,0,0,1,0,0,1,1,0
1247,50.0,0,0,1,0,0,0,0,1,0,1
1248,59.0,2,0,1,0,0,0,0,1,1,0
1249,29.9,0,0,0,0,1,0,0,1,0,1
1250,29.9,0,0,0,0,1,0,1,0,0,1
1251,30.0,1,0,0,0,1,0,0,1,1,0
1252,14.5,8,2,0,0,1,0,0,1,0,1
1253,24.0,1,1,0,1,0,1,0,0,1,0
1254,31.0,0,0,0,1,0,0,0,1,1,0
1255,27.0,0,0,0,0,1,0,0,1,0,1
1256,25.0,1,0,1,0,0,1,0,0,1,0
1257,29.9,1,9,0,0,1,0,0,1,1,0
1258,29.9,1,0,0,0,1,1,0,0,0,1
1259,22.0,0,0,0,0,1,0,0,1,1,0
1260,45.0,0,1,1,0,0,1,0,0,1,0
1261,29.0,0,0,0,1,0,1,0,0,0,1
1262,21.0,1,0,0,1,0,0,0,1,0,1
1263,31.0,0,0,1,0,0,1,0,0,1,0
1264,49.0,0,0,1,0,0,0,0,1,0,1
1265,44.0,0,0,0,1,0,0,0,1,0,1
1266,54.0,1,1,1,0,0,0,0,1,1,0
1267,45.0,0,0,1,0,0,1,0,0,1,0
1268,22.0,2,0,0,0,1,0,0,1,1,0
1269,21.0,0,0,0,1,0,0,0,1,0,1
1270,55.0,0,0,1,0,0,0,0,1,0,1
1271,5.0,4,2,0,0,1,0,0,1,0,1
1272,29.9,0,0,0,0,1,0,1,0,0,1
1273,26.0,0,0,0,0,1,0,1,0,0,1
1274,29.9,0,0,0,0,1,0,0,1,1,0
1275,19.0,1,0,0,0,1,0,0,1,1,0
1276,29.9,0,0,0,1,0,0,0,1,0,1
1277,24.0,1,2,0,1,0,0,0,1,1,0
1278,24.0,0,0,0,0,1,0,0,1,0,1
1279,57.0,0,0,0,1,0,0,0,1,0,1
1280,21.0,0,0,0,0,1,0,1,0,0,1
1281,6.0,3,1,0,0,1,0,0,1,0,1
1282,23.0,0,0,1,0,0,0,0,1,0,1
1283,51.0,0,1,1,0,0,0,0,1,1,0
1284,13.0,0,2,0,0,1,0,0,1,0,1
1285,47.0,0,0,0,1,0,0,0,1,0,1
1286,29.0,3,1,0,0,1,0,0,1,0,1
1287,18.0,1,0,1,0,0,0,0,1,1,0
1288,24.0,0,0,0,0,1,0,1,0,0,1
1289,48.0,1,1,1,0,0,1,0,0,1,0
1290,22.0,0,0,0,0,1,0,0,1,0,1
1291,31.0,0,0,0,0,1,0,1,0,0,1
1292,30.0,0,0,1,0,0,0,0,1,1,0
1293,38.0,1,0,0,1,0,0,0,1,0,1
1294,22.0,0,1,1,0,0,1,0,0,1,0
1295,17.0,0,0,1,0,0,0,0,1,0,1
1296,43.0,1,0,1,0,0,1,0,0,0,1
1297,20.0,0,0,0,1,0,1,0,0,0,1
1298,23.0,1,0,0,1,0,0,0,1,0,1
1299,50.0,1,1,1,0,0,1,0,0,0,1
1300,29.9,0,0,0,0,1,0,1,0,1,0
1301,3.0,1,1,0,0,1,0,0,1,1,0
1302,29.9,0,0,0,0,1,0,1,0,1,0
1303,37.0,1,0,1,0,0,0,1,0,1,0
1304,28.0,0,0,0,0,1,0,0,1,1,0
1305,29.9,0,0,0,0,1,0,0,1,0,1
1306,39.0,0,0,1,0,0,1,0,0,1,0
1307,38.5,0,0,0,0,1,0,0,1,0,1
1308,29.9,0,0,0,0,1,0,0,1,0,1
1309,29.9,1,1,0,0,1,1,0,0,0,1
